iso3;country;gdp;temperature;gccs_wtp;gccs_wtp_belief;gccs_norm;gccs_government
USA;United States;58018;10;48;33;79;74
EGY;Egypt;10148;24;30;27;63;84
MAR;Morocco;7141;18;83;54;86;93
LBN;Lebanon;17951;16;59;41;67;74
SAU;Saudi Arabia;45379;26;77;52;88;
JOR;Jordan;10621;20;62;34;77;86
TUR;Turkey;24792;12;66;40;83;89
PAK;Pakistan;4542;21;47;31;77;81
IDN;Indonesia;9984;26;80;44;84;86
BGD;Bangladesh;4312;26;83;49;87;94
GBR;United Kingdom;44594;9;48;37;87;83
FRA;France;43643;12;51;39;88;85
DEU;Germany;51085;10;68;40;90;86
NLD;Netherlands;53507;11;66;42;86;82
BEL;Belgium;49411;11;61;38;91;90
ESP;Spain;37763;14;65;41;86;88
ITA;Italy;41468;14;64;39;92;93
POL;Poland;27683;9;64;38;47;86
HUN;Hungary;27514;12;73;37;91;88
CZE;Czech Republic;36216;9;55;32;87;88
ROU;Romania;24341;11;69;33;89;94
SWE;Sweden;50217;3;72;44;91;85
GRC;Greece;29224;14;78;36;88;93
DNK;Denmark;53229;9;72;46;91;73
IRN;Iran;14645;19;76;44;91;95
HKG;Hong Kong;56600;23;65;31;93;95
SGP;Singapore;88743;28;53;35;91;93
JPN;Japan;40028;12;49;24;88;86
CHN;China;12326;8;81;56;96;97
IND;India;5335;25;64;36;77;80
VEN;Venezuela;15938;26;85;45;94;96
BRA;Brazil;15017;26;67;43;92;95
MEX;Mexico;19304;22;75;42;96;96
NGA;Nigeria;5147;28;67;39;79;89
KEN;Kenya;4125;25;79;39;82;93
TZA;Tanzania;2279;23;64;45;70;82
ISR;Israel;37394;21;37;19;76;89
GHA;Ghana;4616;28;72;40;84;89
UGA;Uganda;2079;23;75;38;89;94
BEN;Benin;2847;28;84;44;87;93
MDG;Madagascar;1522;23;71;34;77;83
MWI;Malawi;1428;23;71;39;64;76
ZAF;South Africa;13859;19;54;34;81;88
CAN;Canada;47251;-4;49;34;87;82
AUS;Australia;47323;22;56;39;85;83
PHL;Philippines;7165;26;81;49;90;94
LKA;Sri Lanka;12043;27;80;47;87;95
VNM;Vietnam;8041;25;77;50;93;97
THA;Thailand;15945;27;58;46;92;93
KHM;Cambodia;3514;28;87;55;96;96
LAO;Laos;6321;24;85;50;83;87
MMR;Myanmar;3766;24;93;60;95;
NZL;New Zealand;40521;11;46;36;84;74
BWA;Botswana;14048;22;71;49;85;91
MLI;Mali;2064;29;86;42;94;97
MOZ;Mozambique;1210;25;76;41;65;69
SEN;Senegal;3036;29;79;48;91;91
